host_rx_ms	timestamp_ms	seq	version	payload_size	status_flags	remote_control_flags	gimbal_mode	gimbal_motor_online_bitmap	can_link_bitmap	gimbal_cmd_yaw_deg	gimbal_cmd_pitch_deg	gimbal_cmd_chassis_rotate_wz	gimbal_yaw_target_deg	gimbal_yaw_actual_deg	gimbal_yaw_error_deg	gimbal_yaw_target_deg_s	gimbal_yaw_actual_deg_s	gimbal_yaw_speed_error_deg_s	gimbal_pitch_target_deg	gimbal_pitch_actual_deg	gimbal_pitch_error_deg	gimbal_pitch_target_deg_s	gimbal_pitch_actual_deg_s	gimbal_pitch_speed_error_deg_s	imu_pitch_deg	imu_yaw_deg	imu_roll_deg	imu_gyro_x_deg_s	imu_gyro_y_deg_s	imu_gyro_z_deg_s	vision_meta_flags	vision_recv_sp_mode	vision_send_sp_mode	vision_recv_yaw_raw_rad	vision_recv_yaw_raw_deg	vision_recv_yaw_vel_raw_rad_s	vision_recv_yaw_vel_raw_deg_s	vision_recv_yaw_acc_raw_rad_s2	vision_recv_yaw_acc_raw_deg_s2	vision_recv_pitch_raw_rad	vision_recv_pitch_raw_deg	vision_recv_pitch_vel_raw_rad_s	vision_recv_pitch_vel_raw_deg_s	vision_recv_pitch_acc_raw_rad_s2	vision_recv_pitch_acc_raw_deg_s2	vision_send_q0	vision_send_q1	vision_send_q2	vision_send_q3	vision_send_yaw_raw_rad	vision_send_yaw_raw_deg	vision_send_yaw_vel_raw_rad_s	vision_send_yaw_vel_raw_deg_s	vision_send_pitch_raw_rad	vision_send_pitch_raw_deg	vision_send_pitch_vel_raw_rad_s	vision_send_pitch_vel_raw_deg_s	vision_send_bullet_speed_mps	vision_send_bullet_count	shoot_bullet_speed	shoot_rest_heat	shoot_rate	shoot_loader_speed_aps	shoot_friction_l_speed_aps	shoot_friction_r_speed_aps	chassis_cmd_vx	chassis_cmd_vy	chassis_cmd_wz
1789546901239	4542	168	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901259	4565	169	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901284	4588	170	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901303	4611	171	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901326	4634	172	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901350	4657	173	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901374	4680	174	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901397	4703	175	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901421	4726	176	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901444	4749	177	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1789546901462	4772	178	7	288	12	0	0	3	0	0	0	0	26.103515625	26.103515625	0	0	0	0	86.616210938	90.307617188	-3.69140625	-504	0	-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
